Name,Date of Birth,Gender,Marital Status,Phone Number,Email Address,Mailing Address,Language Preference,Geographical Location,Credit Score,Loan Type,Loan Amount,Loan Term,Interest Rate,Loan Purpose,EMI,IP Address,Geolocation,Repayment History,Days Left to Pay Current EMI,Delayed Payment
Khushi Balan,19-02-1986,Male,Single,2169182416,xbhakta@example.com,"29/74, Mander, Kulti 156906",Marathi,Danapur,491,Auto Loan,34398,15,0.16,Medical Emergency,2545.36,10.65.217.95,"-49.3275015, 58.067192","[{'Payment Date': datetime.date(2023, 5, 3), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 6, 20), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 7, 9), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 8, 24), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 9, 21), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 10, 20), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 11, 2), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 12, 3), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2024, 1, 13), 'Payment Mode': 'UPI'}]",2,No
Umang Chatterjee,13-08-1980,Male,Married,4521712306,ivaidya@example.org,"73/885
Sharma Marg
Solapur 386449",Malayalam,Bangalore,325,Personal Loan,96856,9,0.2,Home Renovation,11678.35,192.168.179.132,"14.951437, -136.491335","[{'Payment Date': datetime.date(2023, 5, 1), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 5, 7), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 6, 6), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 7, 21), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 8, 21), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 9, 4), 'Payment Mode': 'Debit Card'}]",4,Yes
Adira Dara,05-08-1995,Female,Widowed,4615155004,loyalvihaan@example.net,"H.No. 468
Raval Zila
Nanded 490253",Malayalam,Bijapur,624,Auto Loan,91301,10,0.16,Home Renovation,9812.94,10.166.34.134,"64.013123, 175.275587","[{'Payment Date': datetime.date(2023, 5, 7), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 6, 3), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 7, 3), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 8, 12), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 9, 28), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 10, 17), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 11, 16), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 12, 17), 'Payment Mode': 'Cash'}]",7,No
Anvi Saini,16-11-2001,Male,Married,+914836846677,tgaba@example.org,"04/25, Mandal Path, Guntakal 305639",Gujarati,Korba,346,Home Loan,78981,14,0.28,Education Fees,6678.01,10.107.161.197,"-11.6130395, 37.595772","[{'Payment Date': datetime.date(2023, 5, 10), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 6, 19), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 7, 6), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 8, 1), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 8, 4), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 9, 27), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 10, 1), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 10, 11), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 11, 26), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 12, 3), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2024, 1, 26), 'Payment Mode': 'UPI'}]",7,Yes
Kartik Kade,09-07-1979,Male,Widowed,+910186397558,sanakaur@example.net,"55/13, Srivastava Path
Raipur-801775",Malayalam,Jorhat,321,Home Loan,89953,1,0.29,Wedding Expenses,92126.86,192.168.255.28,"-71.7186905, 49.352990",[],11,No
Rohan Sekhon,31-07-1980,Male,Widowed,05864147671,orama@example.org,"53/19, Lal Street
Pondicherry-688297",Hindi,Davanagere,760,Auto Loan,14147,2,0.29,Home Renovation,7330.93,10.56.169.62,"46.0948625, 4.226201","[{'Payment Date': datetime.date(2023, 5, 25), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 6, 17), 'Payment Mode': 'Debit Card'}]",9,No
Purab Randhawa,19-10-1966,Female,Single,05187626325,mandaarnav@example.org,"89/03
Krish Nagar
Ambarnath-455869",English,Lucknow,658,Personal Loan,69922,10,0.29,Home Renovation,7954.84,10.177.235.49,"-2.3971695, -31.699453","[{'Payment Date': datetime.date(2023, 5, 12), 'Payment Mode': 'Credit Card'}]",6,Yes
Vardaniya Roy,03-08-1998,Female,Widowed,03958629885,sanghavidur@example.com,"H.No. 35, Rege Path, Kirari Suleman Nagar 292256",Marathi,Thrissur,441,Personal Loan,75349,6,0.15,Medical Emergency,13113.27,172.17.100.164,"78.914761, -43.072960","[{'Payment Date': datetime.date(2023, 5, 6), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 6, 24), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 7, 20), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 8, 4), 'Payment Mode': 'Cash'}]",7,Yes
Piya Ravi,06-10-2001,Male,Divorced,+913408234563,ivana98@example.org,"H.No. 239, Ben Ganj, Ballia 420501",Tamil,Berhampore,355,Auto Loan,68574,13,0.28,Medical Emergency,6176.18,192.168.218.223,"19.605321, 75.110705","[{'Payment Date': datetime.date(2023, 5, 22), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 6, 26), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 7, 24), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 8, 10), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 9, 9), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 10, 21), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 11, 16), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 12, 23), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2024, 1, 4), 'Payment Mode': 'Debit Card'}]",14,Yes
Rati Swaminathan,01-01-1992,Female,Widowed,07508064439,ivansoman@example.net,"63/29
Srivastava Zila, Bidhannagar-812274",English,Amritsar,502,Home Loan,39789,10,0.26,Wedding Expenses,4468.29,192.168.244.120,"-35.8522285, -162.788675","[{'Payment Date': datetime.date(2023, 5, 17), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 6, 8), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 7, 5), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 8, 13), 'Payment Mode': 'Credit Card'}]",1,No
Aaina Mani,02-01-1960,Female,Married,02344611182,vdugar@example.net,"34/31, Dugar
Gurgaon-849784",Telugu,Sultan Pur Majra,560,Personal Loan,71414,4,0.21,Medical Emergency,18641.37,10.237.140.204,"-48.5891925, -164.798163","[{'Payment Date': datetime.date(2023, 5, 17), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 6, 16), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 7, 23), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 8, 5), 'Payment Mode': 'Credit Card'}]",4,Yes
Saira Dani,25-09-1994,Female,Widowed,06109481456,chandrandhruv@example.net,"65/77, Rau Circle, Kharagpur-286040",English,Sambhal,771,Home Loan,32375,11,0.3,Debt Consolidation,3402.81,10.97.36.100,"-61.9848235, 105.953008",[],6,Yes
Jayant Balan,15-02-2002,Female,Widowed,4791432774,borapihu@example.org,"H.No. 429
Sane Nagar, Tirunelveli 435049",Kannada,Ongole,349,Auto Loan,91869,1,0.12,Education Fees,92787.69,172.19.92.54,"80.4890635, 135.548125",[],15,No
Nehmat Ramakrishnan,18-03-1963,Male,Married,00348815743,vidur31@example.com,"569, Mandal Circle, Siliguri-737200",Hindi,Morena,396,Auto Loan,67764,2,0.18,Debt Consolidation,34646.24,10.35.57.108,"-44.682826, -156.050351",[],5,Yes
Vaibhav Warrior,21-05-1988,Male,Married,6841681021,rattayashvi@example.com,"15/78
Kapoor Path
Hyderabad-229890",Malayalam,Panihati,786,Auto Loan,89620,9,0.13,Home Renovation,10504.91,10.198.58.20,"-78.451367, -118.974973","[{'Payment Date': datetime.date(2023, 5, 10), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 6, 26), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 7, 27), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 8, 27), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 9, 5), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 10, 13), 'Payment Mode': 'Cash'}]",15,Yes
Vihaan Kashyap,03-01-2004,Female,Divorced,+918704353565,nitarakurian@example.com,"85/803
Uppal Chowk
Thane-113401",Marathi,Katni,841,Home Loan,65319,9,0.3,Wedding Expenses,8194.72,10.62.194.184,"-41.019343, 164.842036","[{'Payment Date': datetime.date(2023, 5, 20), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 6, 25), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 7, 3), 'Payment Mode': 'Net Banking'}]",4,Yes
Ayesha Bal,18-04-2004,Female,Divorced,5742635426,dbanerjee@example.org,"H.No. 70
Goel Road, Tinsukia-142383",Kannada,Satara,733,Personal Loan,83004,13,0.13,Medical Emergency,6879.54,10.66.231.48,"-72.588769, -43.701233","[{'Payment Date': datetime.date(2023, 5, 6), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 6, 5), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 7, 16), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 8, 5), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 9, 10), 'Payment Mode': 'UPI'}]",14,Yes
Alisha Dube,18-11-2002,Female,Widowed,+916696132263,riyasampath@example.net,"H.No. 97
Chadha Zila, Bilaspur-939586",Hindi,Bidar,802,Home Loan,98939,4,0.27,Medical Emergency,26141.56,172.18.40.144,"-35.185738, 70.096779","[{'Payment Date': datetime.date(2023, 5, 20), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 6, 28), 'Payment Mode': 'UPI'}]",4,No
Jiya Kadakia,12-08-1985,Female,Widowed,+916451229113,vargheseaarush@example.com,"020
Samra Street
Nagaon-612061",Marathi,Jamnagar,393,Auto Loan,69252,2,0.23,Medical Emergency,35624.65,10.65.230.210,"-60.5910425, -159.527588","[{'Payment Date': datetime.date(2023, 5, 16), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 6, 13), 'Payment Mode': 'Debit Card'}]",4,Yes
Kashvi Gade,12-01-1967,Male,Divorced,01447156790,vanyagola@example.org,"H.No. 898
Karpe Ganj
Jhansi 426184",Tamil,Kirari Suleman Nagar,664,Personal Loan,74958,9,0.19,Home Renovation,9001.83,10.222.116.232,"-69.2711015, 176.255505","[{'Payment Date': datetime.date(2023, 5, 7), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 6, 14), 'Payment Mode': 'Net Banking'}]",15,Yes
Armaan Varty,24-01-1987,Male,Widowed,+919922465904,kismat99@example.net,"85/374
Kumer Path
Gandhinagar-728253",Tamil,Sikar,618,Home Loan,95820,13,0.13,Education Fees,7941.76,192.168.126.148,"57.011457, -158.916295","[{'Payment Date': datetime.date(2023, 5, 8), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 6, 7), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 7, 14), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 8, 17), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 9, 25), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 10, 7), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 11, 23), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 12, 1), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 12, 4), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2024, 1, 9), 'Payment Mode': 'Credit Card'}]",12,Yes
Ishaan Manne,19-09-1989,Male,Married,04216215903,vorarohan@example.com,"50, Borra Street, Fatehpur 207221",Tamil,Buxar,310,Personal Loan,60655,11,0.26,Home Renovation,6256.51,172.28.115.81,"-17.937533, -136.750979","[{'Payment Date': datetime.date(2023, 5, 17), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 6, 26), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 7, 13), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 8, 14), 'Payment Mode': 'UPI'}]",6,Yes
Jiya Sekhon,20-01-1997,Female,Married,+910050572476,xsunder@example.net,"H.No. 311
Chahal Street, Anantapuram 399511",Telugu,Raiganj,780,Home Loan,41351,3,0.18,Home Renovation,14199.23,10.89.63.119,"-48.7171785, 58.563734","[{'Payment Date': datetime.date(2023, 5, 19), 'Payment Mode': 'UPI'}]",6,No
Baiju Tella,29-10-1989,Male,Divorced,05129094228,kimayakohli@example.net,"10/26
Bora Street, Saharsa 996718",Kannada,Pune,358,Auto Loan,29711,4,0.23,Medical Emergency,7787.04,172.16.46.84,"77.1105475, -166.791691","[{'Payment Date': datetime.date(2023, 5, 17), 'Payment Mode': 'UPI'}]",8,No
Ritvik Devi,22-01-2001,Female,Married,8448545941,xsingh@example.org,"840, Dora Marg, Salem-594329",Urdu,Durgapur,369,Auto Loan,36501,5,0.25,Education Fees,7762.73,172.19.163.121,"2.4128735, -56.303098",[],4,No
Kanav Dash,28-07-1960,Female,Widowed,0799992458,ahujabaiju@example.net,"61/85, Varghese Marg, Kota-856470",Gujarati,Bidar,708,Home Loan,63400,8,0.27,Medical Emergency,8748.22,10.27.76.112,"-6.215795, -44.545831","[{'Payment Date': datetime.date(2023, 5, 27), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 6, 16), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 7, 18), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 8, 23), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 9, 4), 'Payment Mode': 'UPI'}]",7,Yes
Kavya Deol,09-06-1983,Male,Married,+915239432100,saksham69@example.com,"H.No. 153, Dara Marg
Pune-049649",English,Secunderabad,386,Auto Loan,32188,11,0.17,Wedding Expenses,3180.74,172.28.241.139,"-74.6851385, 45.364783","[{'Payment Date': datetime.date(2023, 5, 21), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 6, 12), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 7, 13), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 8, 25), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 9, 6), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 10, 14), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 11, 26), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 12, 4), 'Payment Mode': 'UPI'}]",2,Yes
Nakul Lad,29-11-1960,Male,Divorced,+917622913725,chalder@example.com,"451
Chaudhuri Street, Aurangabad-973665",Urdu,Bharatpur,694,Auto Loan,89426,11,0.28,Education Fees,9311.49,192.168.61.211,"20.183986, -71.783753","[{'Payment Date': datetime.date(2023, 5, 19), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 6, 10), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 7, 12), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 8, 25), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 9, 4), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 10, 25), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 11, 1), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 12, 24), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2024, 1, 14), 'Payment Mode': 'Debit Card'}]",14,No
Akarsh Kapoor,26-07-1997,Female,Single,09515363580,dayaladvik@example.net,"168
Lata Ganj
Bhagalpur 194400",Kannada,Mangalore,712,Auto Loan,23714,14,0.26,Medical Emergency,1981.87,192.168.176.156,"89.188187, 36.568569","[{'Payment Date': datetime.date(2023, 5, 2), 'Payment Mode': 'Net Banking'}]",12,No
Eshani Balakrishnan,02-03-1992,Male,Single,+917212549794,mmahajan@example.org,"H.No. 025, Chakraborty Ganj, Bhind 804153",Marathi,Berhampore,589,Home Loan,35008,13,0.25,Home Renovation,3101.82,172.17.102.58,"12.473200, 131.659670","[{'Payment Date': datetime.date(2023, 5, 22), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 6, 22), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 7, 4), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 8, 8), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 9, 10), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 10, 14), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 11, 26), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 12, 1), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 12, 12), 'Payment Mode': 'Debit Card'}]",3,Yes
Oorja Bath,08-04-1996,Male,Widowed,8961664069,arhaanbath@example.org,"55/970, Bala, Thanjavur 172617",English,Junagadh,345,Home Loan,40104,13,0.29,Education Fees,3631.67,192.168.21.173,"4.683089, -155.011248","[{'Payment Date': datetime.date(2023, 5, 18), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 6, 26), 'Payment Mode': 'Cash'}, {'Payment Date': datetime.date(2023, 7, 2), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 8, 10), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 9, 13), 'Payment Mode': 'UPI'}, {'Payment Date': datetime.date(2023, 10, 6), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 11, 10), 'Payment Mode': 'Net Banking'}, {'Payment Date': datetime.date(2023, 12, 12), 'Payment Mode': 'Credit Card'}]",7,Yes
Yashvi Korpal,04-06-1983,Male,Married,5945239091,grout@example.com,"802
Verma Road, Panipat-556376",Tamil,Nagercoil,807,Personal Loan,87369,1,0.27,Home Renovation,89334.8,192.168.215.58,"14.1375365, -141.989685",[],10,Yes
Ira Rajan,25-04-1986,Male,Married,00665451987,sanabakshi@example.org,"27/98, Edwin Road, Muzaffarnagar 649440",Marathi,Vadodara,377,Home Loan,12410,7,0.24,Wedding Expenses,1917.49,10.236.1.90,"-15.062026, 125.466720","[{'Payment Date': datetime.date(2023, 5, 11), 'Payment Mode': 'Credit Card'}, {'Payment Date': datetime.date(2023, 6, 22), 'Payment Mode': 'Debit Card'}, {'Payment Date': datetime.date(2023, 7, 4), 'Payment Mode': 'Debit Card'}]",15,Yes
